001  00119 |Loss: 5.700 | Acc: 10.110% 
001  00120 |Loss: 5.672 | Acc: 10.104% 
001  00121 |Loss: 5.648 | Acc: 10.098% 
001  00122 |Loss: 5.621 | Acc: 10.041% 
001  00123 |Loss: 5.601 | Acc: 10.010% 
001  00124 |Loss: 5.575 | Acc: 10.030% 
001  00125 |Loss: 5.553 | Acc: 9.950% 
001  00126 |Loss: 5.526 | Acc: 9.921% 
001  00127 |Loss: 5.505 | Acc: 9.990% 
001  00128 |Loss: 5.491 | Acc: 9.961% 
001  00129 |Loss: 5.472 | Acc: 9.884% 
001  00130 |Loss: 5.453 | Acc: 9.952% 
001  00131 |Loss: 5.434 | Acc: 9.924% 
001  00132 |Loss: 5.413 | Acc: 9.848% 
001  00133 |Loss: 5.389 | Acc: 9.939% 
001  00134 |Loss: 5.368 | Acc: 9.865% 
001  00135 |Loss: 5.346 | Acc: 9.977% 
001  00136 |Loss: 5.323 | Acc: 9.972% 
001  00137 |Loss: 5.302 | Acc: 9.922% 
001  00138 |Loss: 5.280 | Acc: 9.986% 
001  00139 |Loss: 5.258 | Acc: 10.162% 
001  00140 |Loss: 5.246 | Acc: 10.156% 
001  00141 |Loss: 5.229 | Acc: 10.129% 
001  00142 |Loss: 5.211 | Acc: 10.123% 
001  00143 |Loss: 5.198 | Acc: 10.096% 
001  00144 |Loss: 5.179 | Acc: 10.048% 
001  00145 |Loss: 5.166 | Acc: 10.000% 
001  00146 |Loss: 5.147 | Acc: 10.039% 
001  00147 |Loss: 5.128 | Acc: 10.077% 
001  00148 |Loss: 5.108 | Acc: 10.114% 
001  00149 |Loss: 5.090 | Acc: 10.172% 
001  00150 |Loss: 5.076 | Acc: 10.208% 
001  00151 |Loss: 5.057 | Acc: 10.244% 
001  00152 |Loss: 5.040 | Acc: 10.238% 
001  00153 |Loss: 5.026 | Acc: 10.212% 
001  00154 |Loss: 5.008 | Acc: 10.207% 
001  00155 |Loss: 4.991 | Acc: 10.242% 
001  00156 |Loss: 4.976 | Acc: 10.317% 
001  00157 |Loss: 4.962 | Acc: 10.271% 
001  00158 |Loss: 4.945 | Acc: 10.285% 
001  00159 |Loss: 4.930 | Acc: 10.259% 
001  00160 |Loss: 4.913 | Acc: 10.254% 
001  00161 |Loss: 4.897 | Acc: 10.268% 
001  00162 |Loss: 4.883 | Acc: 10.243% 
001  00163 |Loss: 4.868 | Acc: 10.238% 
001  00164 |Loss: 4.853 | Acc: 10.271% 
001  00165 |Loss: 4.837 | Acc: 10.303% 
001  00166 |Loss: 4.825 | Acc: 10.316% 
001  00167 |Loss: 4.810 | Acc: 10.385% 
001  00168 |Loss: 4.798 | Acc: 10.379% 
001  00169 |Loss: 4.785 | Acc: 10.337% 
001  00170 |Loss: 4.774 | Acc: 10.331% 
001  00171 |Loss: 4.763 | Acc: 10.307% 
001  00172 |Loss: 4.750 | Acc: 10.302% 
001  00173 |Loss: 4.740 | Acc: 10.296% 
001  00174 |Loss: 4.727 | Acc: 10.273% 
001  00175 |Loss: 4.717 | Acc: 10.286% 
001  00176 |Loss: 4.705 | Acc: 10.334% 
001  00177 |Loss: 4.694 | Acc: 10.293% 
001  00178 |Loss: 4.683 | Acc: 10.253% 
001  00179 |Loss: 4.671 | Acc: 10.300% 
001  00180 |Loss: 4.660 | Acc: 10.295% 
001  00181 |Loss: 4.649 | Acc: 10.273% 
001  00182 |Loss: 4.637 | Acc: 10.216% 
001  00183 |Loss: 4.624 | Acc: 10.195% 
001  00184 |Loss: 4.612 | Acc: 10.173% 
001  00185 |Loss: 4.602 | Acc: 10.135% 
001  00186 |Loss: 4.592 | Acc: 10.148% 
001  00187 |Loss: 4.580 | Acc: 10.177% 
001  00188 |Loss: 4.568 | Acc: 10.156% 
001  00189 |Loss: 4.558 | Acc: 10.169% 
001  00190 |Loss: 4.548 | Acc: 10.197% 
001  00191 |Loss: 4.540 | Acc: 10.193% 
001  00192 |Loss: 4.533 | Acc: 10.189% 
001  00193 |Loss: 4.523 | Acc: 10.136% 
001  00194 |Loss: 4.514 | Acc: 10.148% 
001  00195 |Loss: 4.503 | Acc: 10.192% 
001  00196 |Loss: 4.495 | Acc: 10.204% 
001  00197 |Loss: 4.485 | Acc: 10.184% 
001  00198 |Loss: 4.475 | Acc: 10.180% 
001  00199 |Loss: 4.467 | Acc: 10.207% 
001  00200 |Loss: 4.459 | Acc: 10.203% 
001  00201 |Loss: 4.448 | Acc: 10.246% 
001  00202 |Loss: 4.438 | Acc: 10.257% 
001  00203 |Loss: 4.430 | Acc: 10.237% 
001  00204 |Loss: 4.421 | Acc: 10.233% 
001  00205 |Loss: 4.411 | Acc: 10.229% 
001  00206 |Loss: 4.402 | Acc: 10.179% 
001  00207 |Loss: 4.392 | Acc: 10.190% 
001  00208 |Loss: 4.383 | Acc: 10.171% 
001  00209 |Loss: 4.373 | Acc: 10.197% 
001  00210 |Loss: 4.368 | Acc: 10.164% 
001  00211 |Loss: 4.359 | Acc: 10.160% 
001  00212 |Loss: 4.349 | Acc: 10.186% 
001  00213 |Loss: 4.343 | Acc: 10.182% 
001  00214 |Loss: 4.334 | Acc: 10.178% 
001  00215 |Loss: 4.326 | Acc: 10.160% 
001  00216 |Loss: 4.317 | Acc: 10.214% 
001  00217 |Loss: 4.309 | Acc: 10.239% 
001  00218 |Loss: 4.300 | Acc: 10.249% 
001  00219 |Loss: 4.291 | Acc: 10.288% 
001  00220 |Loss: 4.285 | Acc: 10.256% 
001  00221 |Loss: 4.277 | Acc: 10.266% 
001  00222 |Loss: 4.270 | Acc: 10.262% 
001  00223 |Loss: 4.261 | Acc: 10.272% 
001  00224 |Loss: 4.253 | Acc: 10.240% 
001  00225 |Loss: 4.245 | Acc: 10.208% 
001  00226 |Loss: 4.238 | Acc: 10.191% 
001  00227 |Loss: 4.230 | Acc: 10.187% 
001  00228 |Loss: 4.221 | Acc: 10.197% 
001  00229 |Loss: 4.213 | Acc: 10.207% 
001  00230 |Loss: 4.206 | Acc: 10.177% 
001  00231 |Loss: 4.198 | Acc: 10.173% 
001  00232 |Loss: 4.191 | Acc: 10.156% 
001  00233 |Loss: 4.183 | Acc: 10.193% 
001  00234 |Loss: 4.176 | Acc: 10.203% 
001  00235 |Loss: 4.171 | Acc: 10.199% 
001  00236 |Loss: 4.164 | Acc: 10.183% 
001  00237 |Loss: 4.156 | Acc: 10.206% 
001  00238 |Loss: 4.149 | Acc: 10.189% 
001  00239 |Loss: 4.142 | Acc: 10.186% 
001  00240 |Loss: 4.136 | Acc: 10.169% 
001  00241 |Loss: 4.130 | Acc: 10.166% 
001  00242 |Loss: 4.124 | Acc: 10.189% 
001  00243 |Loss: 4.117 | Acc: 10.224% 
001  00244 |Loss: 4.110 | Acc: 10.220% 
001  00245 |Loss: 4.104 | Acc: 10.242% 
001  00246 |Loss: 4.097 | Acc: 10.226% 
001  00247 |Loss: 4.090 | Acc: 10.273% 
001  00248 |Loss: 4.083 | Acc: 10.257% 
001  00249 |Loss: 4.078 | Acc: 10.241% 
001  00250 |Loss: 4.071 | Acc: 10.250% 
001  00251 |Loss: 4.064 | Acc: 10.234% 
001  00252 |Loss: 4.057 | Acc: 10.231% 
001  00253 |Loss: 4.051 | Acc: 10.227% 
001  00254 |Loss: 4.045 | Acc: 10.212% 
001  00255 |Loss: 4.039 | Acc: 10.221% 
001  00256 |Loss: 4.032 | Acc: 10.254% 
001  00257 |Loss: 4.026 | Acc: 10.275% 
001  00258 |Loss: 4.020 | Acc: 10.296% 
001  00259 |Loss: 4.014 | Acc: 10.280% 
001  00260 |Loss: 4.008 | Acc: 10.349% 
001  00261 |Loss: 4.002 | Acc: 10.357% 
001  00262 |Loss: 3.996 | Acc: 10.353% 
001  00263 |Loss: 3.990 | Acc: 10.385% 
001  00264 |Loss: 3.986 | Acc: 10.369% 
001  00265 |Loss: 3.980 | Acc: 10.354% 
001  00266 |Loss: 3.975 | Acc: 10.338% 
001  00267 |Loss: 3.972 | Acc: 10.335% 
001  00268 |Loss: 3.965 | Acc: 10.308% 
001  00269 |Loss: 3.962 | Acc: 10.351% 
001  00270 |Loss: 3.957 | Acc: 10.347% 
001  00271 |Loss: 3.951 | Acc: 10.367% 
001  00272 |Loss: 3.945 | Acc: 10.386% 
001  00273 |Loss: 3.939 | Acc: 10.405% 
001  00274 |Loss: 3.935 | Acc: 10.424% 
001  00275 |Loss: 3.929 | Acc: 10.420% 
001  00276 |Loss: 3.923 | Acc: 10.405% 
001  00277 |Loss: 3.918 | Acc: 10.402% 
001  00278 |Loss: 3.912 | Acc: 10.420% 
001  00279 |Loss: 3.906 | Acc: 10.428% 
001  00280 |Loss: 3.903 | Acc: 10.435% 
001  00281 |Loss: 3.899 | Acc: 10.465% 
001  00282 |Loss: 3.895 | Acc: 10.461% 
001  00283 |Loss: 3.891 | Acc: 10.468% 
001  00284 |Loss: 3.887 | Acc: 10.475% 
001  00285 |Loss: 3.882 | Acc: 10.482% 
001  00286 |Loss: 3.876 | Acc: 10.479% 
001  00287 |Loss: 3.872 | Acc: 10.486% 
001  00288 |Loss: 3.867 | Acc: 10.471% 
001  00289 |Loss: 3.862 | Acc: 10.467% 
001  00290 |Loss: 3.857 | Acc: 10.463% 
001  00291 |Loss: 3.854 | Acc: 10.449% 
001  00292 |Loss: 3.849 | Acc: 10.413% 
001  00293 |Loss: 3.846 | Acc: 10.410% 
001  00294 |Loss: 3.841 | Acc: 10.417% 
001  00295 |Loss: 3.835 | Acc: 10.424% 
001  00296 |Loss: 3.831 | Acc: 10.399% 
001  00297 |Loss: 3.829 | Acc: 10.417% 
001  00298 |Loss: 3.824 | Acc: 10.476% 
001  00299 |Loss: 3.818 | Acc: 10.483% 
001  00300 |Loss: 3.813 | Acc: 10.469% 
001  00301 |Loss: 3.809 | Acc: 10.465% 
001  00302 |Loss: 3.804 | Acc: 10.503% 
001  00303 |Loss: 3.800 | Acc: 10.489% 
001  00304 |Loss: 3.794 | Acc: 10.495% 
001  00305 |Loss: 3.790 | Acc: 10.502% 
001  00306 |Loss: 3.786 | Acc: 10.509% 
001  00307 |Loss: 3.782 | Acc: 10.505% 
001  00308 |Loss: 3.777 | Acc: 10.532% 
001  00309 |Loss: 3.772 | Acc: 10.518% 
001  00310 |Loss: 3.767 | Acc: 10.494% 
001  00311 |Loss: 3.763 | Acc: 10.500% 
001  00312 |Loss: 3.760 | Acc: 10.487% 
001  00313 |Loss: 3.756 | Acc: 10.463% 
001  00314 |Loss: 3.752 | Acc: 10.450% 
001  00315 |Loss: 3.747 | Acc: 10.417% 
001  00316 |Loss: 3.742 | Acc: 10.423% 
001  00317 |Loss: 3.738 | Acc: 10.430% 
001  00318 |Loss: 3.734 | Acc: 10.407% 
001  00319 |Loss: 3.731 | Acc: 10.384% 
001  00320 |Loss: 3.728 | Acc: 10.361% 
001  00321 |Loss: 3.725 | Acc: 10.358% 
001  00322 |Loss: 3.720 | Acc: 10.384% 
001  00323 |Loss: 3.715 | Acc: 10.401% 
001  00324 |Loss: 3.712 | Acc: 10.417% 
001  00325 |Loss: 3.708 | Acc: 10.404% 
001  00326 |Loss: 3.704 | Acc: 10.429% 
001  00327 |Loss: 3.701 | Acc: 10.426% 
001  00328 |Loss: 3.697 | Acc: 10.452% 
001  00329 |Loss: 3.692 | Acc: 10.439% 
001  00330 |Loss: 3.688 | Acc: 10.455% 
001  00331 |Loss: 3.684 | Acc: 10.451% 
001  00332 |Loss: 3.681 | Acc: 10.476% 
001  00333 |Loss: 3.678 | Acc: 10.482% 
001  00334 |Loss: 3.675 | Acc: 10.479% 
001  00335 |Loss: 3.671 | Acc: 10.457% 
